Freq,Z
1000.0,1591.5701654304671
1018.5913880541169,1562.5215000141725
1037.5284158180127,1534.0030466967844
1056.8175092136585,1506.0051282809065
1076.465213629835,1478.5182442028101
1096.4781961431852,1451.5330673085975
1116.863247780561,1425.0404406892085
1137.627285823431,1399.0313745731962
1158.7773561551262,1373.4970432762195
1180.3206356517298,1348.4287822062122
1202.2644346174131,1323.8180849232203
1224.6161992650489,1299.6566002529007
1247.3835142429432,1275.9361294527073
1270.5741052085418,1252.6486234298059
1294.1958414499863,1229.7861800097642
1318.2567385564075,1207.3410412551004
1342.7649611378642,1185.3055908327724
1367.7288255958495,1163.67235142972
1393.1568029453035,1142.43398221558
1419.0575216890927,1121.583276351715
1445.439770745928,1101.113158545709
1472.3125024327194,1081.016682650499
1499.684835502374,1061.2870293073347
1527.5660582380733,1041.9175036317545
1555.965631605075,1022.9015329418069
1584.893192461114,1004.2326645277325
1614.3585568264868,985.9045634623595
1644.3717232149324,967.9110104514677
1674.9428760264382,950.2458997233872
1706.0823890031243,932.9032369571202
1737.8008287493763,915.8771372482821
1770.108958317422,899.1618231121714
1803.0177408595698,882.7516225232886
1836.5383433483473,866.640966990641
1870.6821403658016,850.8243896681826
1905.4607179632483,835.296523499742
1940.8858775927793,820.0520993978135
1976.96964011186,805.0859444555936
2013.7242498623875,790.3929801916489
2051.1621788255648,775.9682208266347
2089.296130854039,761.806771591462
2128.139045982711,747.9038270663516
2167.704104819694,734.2546695502037
2208.004733018899,720.8546674597382
2249.0546058357804,707.6992737578528
2290.8676527677726,694.7840244106723
2333.458062281002,682.1045368727637
2376.840286624876,669.6565086000013
2421.0290467361774,657.4357155895815
2466.0393372343387,645.4380109466847
2511.88643150958,633.6593234773087
2558.585886905645,622.0956563067824
2606.153549998895,610.7430855235045
2654.605561975539,599.5977588474373
2703.9583641088434,588.6558943229084
2754.2287033381663,577.9137790352762
2805.433637951713,567.3677678510221
2857.5905433749467,557.0142821808432
2910.717118066605,546.8498087653267
2964.8313895243423,536.8708984827904
3019.9517204020162,527.0741651788902
3076.096814740708,517.4562845175911
3133.2857243155854,508.013992853118
3191.5378551007616,498.7440861224981
3250.872973854344,489.64341875832383
3311.311214825911,480.70890262136356
3372.873086588689,471.9375059526598
3435.5794789987463,463.3262523447597
3499.451670283573,454.87221973172706
3564.5113342624427,446.5725393975948
3630.780547701014,438.42439500292056
3698.281797802663,430.42502162911484
3767.0379898390893,422.57170484021856
3837.0724549227884,414.8617797618106
3908.4089579240213,407.2926301767328
3981.0717055349733,399.86168763732644
4055.085354483839,392.566430593878
4130.475019901614,385.4043835389791
4207.266283844442,378.37311616750986
4285.485203974396,371.47024255196084
4365.158322401661,364.6934203328136
4446.312674691088,358.0403499237056
4528.975799036209,351.5087737311089
4613.175745603796,345.0964753882582
4698.941086052156,338.80127900306974
4786.300923226385,332.6210484197923
4875.284901033865,326.55368649414385
4965.923214503363,320.5971343816852
5058.246620031137,314.7493708391903
5152.286445817562,309.0084115387748
5248.074602497723,303.372308394553
5345.643593969714,297.8391489015914
5445.026528424209,292.4070554869359
5546.257129579105,287.0741848724937
5649.369748123023,281.838727449551
5754.399373371566,276.69890666471713
5861.3816451402845,271.65297841708446
5970.352865838366,266.6992304664008
6081.350012787177,261.8359818520534
6194.410750767812,257.0615823226662
6309.57344480193,252.37441177611865
6426.877173170194,247.7728797097949
6546.361740672747,243.25542468087625
6668.067692136218,238.8205137764955
6792.036326171843,234.46664209357192
6918.309709189362,230.19233222815092
7046.930689671467,225.99613377407476
7177.942912713615,221.87662283081494
7311.390834834172,217.83240152029828
7447.319739059889,213.86209751256354
7585.775750291836,209.9643635600873
7726.805850957021,206.13787704062094
7870.457896950985,202.38133950838375
8016.78063387679,198.69347625345992
8165.823713585923,195.0730358692502
8317.63771102671,191.51878982783012
8472.274141405964,188.02953206307293
8629.785477669702,184.60407856139352
8790.225168308842,181.24126695997577
8953.647655495937,177.93995615234707
9120.108393559096,174.69902590116507
9289.663867799363,171.51737645808655
9462.37161365793,168.39392819058867
9638.290236239705,165.32762121561575
9817.479430199845,162.3174150399286
10000.0,159.36228820703226
10185.91388054117,156.46123795056445
10375.284158180126,153.61327985402568
10568.175092136586,150.81744751673597
10764.65213629835,148.07279222590537
10964.78196143185,145.37838263470599
11168.632477805611,142.7333044462371
11376.27285823431,140.13666010327597
11587.773561551261,137.58756848370868
11803.206356517298,135.08516460153797
12022.644346174131,132.6285993133666
12246.16199265049,130.21703903025684
12473.835142429432,127.84966543486752
12705.74105208542,125.5256752037737
12941.958414499863,123.24427973487406
13182.567385564074,121.00470487979368
13427.649611378642,118.8061906811915
13677.288255958494,116.64799111488307
13931.568029453036,114.52937383669136
14190.575216890926,112.44961993393987
14454.39770745928,110.40802368150281
14723.125024327193,108.40389230233103
14996.84835502374,106.43654573237093
15275.660582380731,104.50531638979785
15559.65631605075,102.6095489484846
15848.93192461114,100.74860011562912
16143.585568264869,98.92183841346505
16443.717232149324,97.1286439649819
16749.42876026438,95.36840828358142
17060.823890031243,93.64053406659914
17378.00828749376,91.9444349926211
17701.08958317422,90.2795355225267
18030.1774085957,88.64527070419057
18365.383433483476,87.04108598077647
18706.821403658018,85.46643700255922
19054.607179632483,83.92078944220961
19408.858775927794,82.40361881348088
19769.69640111862,80.91441029323396
20137.242498623895,79.45265854674214
20511.621788255667,78.01786755621517
20892.96130854041,76.60955045248514
21281.390459827133,75.22722934979657
21677.041048196963,73.87043518364494
22080.047330189012,72.53870755160852
22490.546058357828,71.2315945571195
22908.676527677748,69.9486526561215
