10000000,9492.231907,1131.467205
9549925.86,9813.476368,1005.269309
9120108.394,9820.084595,991.2449986
8709635.9,9720.089104,1112.932087
8317637.711,9633.53547,1284.253405
7943282.347,9605.557354,1413.565515
7585775.75,9629.910143,1450.641763
7244359.601,9674.617478,1396.492658
6918309.709,9704.142118,1291.750302
6606934.48,9694.860315,1195.574792
6309573.445,9642.597064,1163.679323
6025595.861,9562.568374,1231.11699
5754399.373,9483.275967,1402.926147
5495408.739,9436.709784,1653.592563
5248074.602,9464.532605,1951.45113
5011872.336,9531.259684,2227.710891
4786300.923,9673.012408,2355.585622
4570881.896,9824.923027,2339.610249
4365158.322,9982.695084,2273.481933
4168693.835,9977.223762,2257.689952
3981071.706,9954.815988,2259.898291
3801893.963,9955.202042,2366.4112
3630780.548,9984.85863,2676.476169
3467368.505,10024.98156,2953.221793
3311311.215,9931.970024,3221.598441
3162277.66,9890.191862,3577.784348
3019951.72,9815.902886,3818.082444
2884031.503,9795.111232,3862.248803
2754228.703,9829.518234,3839.903091
2630267.992,9883.995829,3818.392079
2511886.432,9928.366743,3864.160471
2398832.919,9983.900095,3992.984368
2290867.653,10047.3772,4261.003811
2187761.624,10092.93904,4633.539822
2089296.131,10174.22577,4929.857916
1995262.315,10212.85351,5291.547161
1905460.718,10234.24123,5573.206984
1819700.859,10309.05432,5758.025946
1737800.829,10405.64611,5995.690946
1659586.907,10443.98104,6182.356427
1584893.192,10471.96686,6361.155052
1513561.248,10537.91546,6613.398513
1445439.771,10641.9492,6961.560647
1380384.265,10744.86561,7321.041318
1318256.739,10902.04836,7621.196193
1258925.412,11049.91461,7977.539993
1202264.435,11259.38684,8359.851598
1148153.621,11441.45541,8726.571448
1096478.196,11641.50313,9089.675283
1047128.548,11764.96492,9514.296103
1000000,11866.35758,9978.041525
954992.586,12012.81046,10399.28282
912010.8394,12235.77319,10806.49348
870963.59,12526.16997,11223.48801
831763.7711,12923.57853,11700.65578
794328.2347,13340.08999,12106.90915
758577.575,13686.6969,12482.421
724435.9601,14012.70618,12919.54868
691830.9709,14396.73742,13437.7478
660693.448,14841.50439,13938.49916
630957.3445,15236.40022,14531.817
602559.5861,15670.6216,15066.10572
575439.9373,16164.00782,15545.06597
549540.8739,16759.88358,16044.65219
524807.4602,17326.43201,16552.23625
501187.2336,17910.86413,17033.7225
478630.0923,18485.81242,17526.74021
457088.1896,19141.48845,17995.86815
436515.8322,19822.46951,18426.4647
416869.3835,20568.77554,18794.48678
398107.1706,21375.0767,19154.43361
380189.3963,22283.72111,19504.17606
363078.0548,23290.66543,19857.46498
346736.8505,24162.03539,20260.96657
331131.1215,24971.83769,20672.89371
316227.766,25813.79364,20897.48504
301995.172,26645.45352,21134.33014
288403.1503,27569.04829,21377.60456
275422.8703,28608.8081,21538.12667
263026.7992,29661.94383,21458.00708
251188.6432,30752.35262,21316.6354
239883.2919,31919.82396,21226.00448
229086.7653,33059.13715,21104.67812
218776.1624,34045.41336,21012.20708
